,가수,곡명,가사,장르,발매일
0,김건모,잘못된 만남,"난 너를 믿었던 만큼
난 내 친구도 믿었기에
난 아무런 부담없이 널
내 친구에게 소개 시켜줬고
그런 만남이 있은 후로 부터
우리는 자주 함께 만나며
즐거운 시간을 보내며
함께 어울렸던 것뿐인데
그런 만남이 어디부터
잘못됐는지
난 알 수 없는 예감에
조금씩 빠져들고 있을때쯤
넌 나보다
내 친구에게 관심을 더 보이며
날 조금씩 멀리하던
그 어느날
너와 내가 심하게 다툰
그날 이후로
너와 내 친구는 연락도 없고
날 피하는 것같아
그제서야 난 느낀거야
모든것이 잘못돼 있는걸
너와 내 친구는
어느새 다정한 연인이 돼있었지
있을 수 없는 일이라며
난 울었어
내 사랑과 우정을 모두
버려야 했기에
또다른 내 친구는 내 어깰
두드리며
잊어버리라 했지만 잊지
못할것 같아
너를 사랑했던 것만큼
난 내 친구도 믿었기에
난 자연스럽게 너와 함께
어울렸던 것뿐인데
어디부터 우리의
믿음이 깨지기 시작했는지
난 알지도 못한채 어색함을
느끼면서
그렇게 함께 만나온
시간이 길어지면 질수록
넌 내게서
조금씩 멀어지는 것을 느끼며
난 예감을 했었지
넌 나보다 내 친구에게
관심이 더 있었다는 걸
그 어느날
너와 내가 심하게 다툰
그날 이후로
너와 내 친구는
연락도 없고 날 피하는 것같아
그제서야 난 느낀거야
모든것이 잘못돼 있는걸
너와 내 친구는
어느새 다정한 연인이 돼있었지
있을 수 없는 일이라며
난 울었어
내 사랑과 우정을 모두
버려야 했기에
또다른 내 친구는 내 어깰
두드리며
잊어버리라 했지만 잊지
못할것 같아",댄스,1995.01.24
1,녹색지대,사랑을 할꺼야,"이젠 나도 널 잊겠어
너무 힘이 들잖아
원하는 대로 해줄 순 있지만
난 더 이상 해줄게 없어
그런 나를 욕하지마
후회 할지도 몰라
철없는 생각 시간이 흐르면
그땐 이미 늦은걸
모든 것을 주는 그런
사랑을 해봐
받으려고만 하는 그런
사랑말고
너도 알고 있잖아
끝이 없는 걸 서로
참아야만 하는 걸
사랑을 할거야
사랑을 할거야
아무도 모르게 너만을 위하여
나를 지켜봐줘 나를 지켜봐줘
아무도 모르는 사랑을
모든 것을 주는 그런
사랑을 해봐
받으려고만 하는 그런 사랑말고
너도 알고 있잖아
끝이 없는 걸 서로 참아야만
하는 걸
사랑을 할거야
사랑을 할거야
아무도 모르게 너만을 위하여
나를 지켜봐줘 나를 지켜봐줘
아무도 모르는 사랑을
사랑을 할거야
사랑을 할거야
아무도 모르게 너만을 위하여
나를 지켜봐줘 나를 지켜봐줘
아무도 모르는 사랑을",발라드,1994.01.01
2,솔리드,이 밤의 끝을 잡고,"다신 널 볼 수 없겠지
나의 입술이 너의 하얀
어깨를 감싸 안으며
그렇게 우린 이 밤의 끝을
잡고 사랑했지만
마지막 입맞춤이 아쉬움에 떨려도
빈 손으로 온 내게 세상이 준 선물은
너란 걸 알기에 참아야겠지
내 맘 아프지 않게 그 누구보다도
행복하게 살아야 해 모든 걸 잊고
이 밤의 끝을 잡고 있는 나의 사랑이
더 이상 초라하지 않게
나를 위해 울지 마 난 괜찮아
그래 어쩌면 난 오래 전부터
우리의 사랑도 어쩔 수 없는
이별이 찾아 올지도 모른다고
생각했어
하지만 울지 마 이 밤의 끝은 내가
잡고 있을 테니
넌 그렇게 언제나 웃으면서
살아야 돼
제발 울지 말고 나를 위해
웃어줘 제발
마지막 입맞춤이 아쉬움에 떨려도
빈 손으로 온 내게 세상이 준 선물은
너란 걸 알기에 참아야겠지
내 맘 아프지 않게 그 누구보다도
행복하게 살아야 해 모든 걸 잊고
이 밤의 끝을 잡고 있는 나의 사랑이
더 이상 초라하지 않게
나를 위해 울지 마 난 괜찮아
나의 가슴으로 너와 함께 나누었던
이 밤을 간직한 채 잠시
널 묻어야 하겠지
나의 눈물이 널 붙잡고 있지만
니가 힘들지 않게 웃으며
보내야 겠지
내 맘 아프지 않게 그 누구보다도
행복하게
모든 걸 잊고 이 밤의 끝을 잡고
있는 나의 사랑이 더 이상
초라하지 않게
나를 위해 울지마 난 괜찮아 우",R&B/Soul,1995.03.01
3,015B,슬픈 인연,"멀어져 가는 저 뒷모습을
바라보면서
난 아직도 이 순간을 이별이라
하지 않겠네
달콤했었지 그 수많았던
추억 속에서
흠뻑 젖은 두 마음을 우린
어떻게 잊을까
아 다시 올거야
너는 외로움을 견딜수 없어
아 나의 곁으로 다시 돌아올거야
그러나 그 시절에 너를 또 만나서
사랑할 수 있을까
흐르는 그 세월에 나는 또 얼마나
많은 눈물을 흘리려나
아 다시 올거야 너는 외로움을
견딜수 없어
아 나의 곁으로 다시 돌아올거야
그러나 그 시절에 너를 또 만나서
사랑할 수 있을까
흐르는 그 세월에 나는 또 얼마나
많은 눈물을 흘리려나",발라드,1994.11.20
4,K2 김성면,슬프도록 아름다운 ...,"그리움의 끝엔 언제나
눈물 속에 항상 네가 있는 것은
돌아갈 수 없는 아픔인듯 시린
추억이 가슴속에 남아서야
어느 하늘 아래 있을까
아련하게 자꾸 떠오르는 너를
한번만이라도 보고 싶은 마음
서러워 눈물로도 참지 못해
이젠 다른 삶인걸 알아
우린 같은 추억 간직한 채로
서로 사랑했던 날 만큼
아파하며 잊혀져 버릴지도 몰라
아냐 기쁜 젊은 날의 내 사랑
어떻게 널 잊을수 있어
슬프도록 아름다웠던
우리 지난 날의 사랑아
이젠 다른 삶인걸 알아
우린 같은 추억 간직한 채로
서로 사랑했던 날 만큼
아파하며 잊혀져 버릴지도 몰라
아냐 기쁜 젊은 날의 내 사랑
어떻게 널 잊을수 있어
슬프도록 아름다웠던
우리 지난 날의 사랑아
기쁜 젊은 날의 내 사랑
어떻게 널 잊을수 있어
슬프도록 아름다웠던
우리 지난 날의 사랑아",록/메탈,1995.01.15
5,장혜진,내게로,"너무 서두르지마
견디기 힘이들때면
애써 따라오려 하지말고
오히려 더 천천히
그래 그렇게 다가와
내가 여기에서 기다릴게
숨이 찰땐 걸어오렴
힘이들 때 그랬던 것처럼
앞으로도 우린 아주
먼길을 가야만 해
서두르지마
함께 걸어가는 것
그것이 내겐 소중해
조금 늦는것쯤 상관없어
내가 지쳐있을 때
네가 기다려준 것처럼
내가 여기있어 힘을 내 봐
숨이 찰땐 걸어오렴
힘이 들때 그랬던 것처럼
앞으로도 우린 아주
먼길을 가야만 해
서두르지마
걱정마 기다리고 있어
이젠 멀지않아
조금만 더 힘을 내
내가 너의 두팔을
잡아줄 수 있도록
숨이찰 땐 걸어오렴
힘이들 때 그랬던 것처럼
앞으로도 우린 아주
먼길을 가야만 해
서두르지마
숨이찰 땐 걸어오렴
힘이들 때 그랬던 것처럼
앞으로도 우린 아주
먼길을 가야만 해
서두르지마",발라드,1994.11.01
6,이소라,난 행복해,"날 용서해
너에게 이런 말
정말 하고 싶진 않아
그러나 이젠
어쩔 수 없는 일이야
그 사람을
사랑하지 않게
해달라고 기도했어
하지만 이제
너무 늦었어
그렇게도 해맑게 웃던
네 모습을 난 기억해
다음 번엔 나같은 여자
만나지마
행복해야해
넌 반드시
좋은 사람 만나
다시 사랑해야 하고
저 기억 너머로
그렇게 나를
잊어야 해
그렇게도 해맑게 웃던
네 모습을 난 기억해
다음번엔 나같은 여자 만나지마
행복해야해
내게 힘이되도록 해맑게 웃던
니 모습을 난 기억해
그리고 다음번엔 나같은 여자
만나지마 제발
행복해야해
난 행복해 그동안 널 볼수
있던 그날들 때문에
난 널 못 잊어
죽는 날까지 사랑해",발라드,1995.09.01
7,노이즈,상상속의 너,"나는 가끔 이런 생각들을 했어
내가 사랑할 수 있는 누군가도
지금 나와같은 생각으로
나의 모습들을 가끔씩 그려보는지
이런저런 상상속에 많은 시간들은
나를 외롭게 만들었지만
나는 기다렸어 그날이 오기를
바로 오늘을
오늘 나는 우연히 널 보고 말았어
나에 상상 속에 그리던 널
나의 눈이 너와 마주치던 그 순간
나는 굳어버렸지
할말도 잃어버린 채
어떡해야 그대에게 말을 건넬까
나의 맘은 두근거렸지만
내게 슬쩍 눈길을 주며 웃는 그댈
이젠 사랑할 수밖에 없어
너무 오랫동안 나는 기다렸어
나의 친구들은 애인이 있는데
나만 혼자라는 외로움에 가끔
나는 내 자신을 미워했었지만
그래 한번 참아보는 거야
어디까지 그댈 기다려야 하는지 나의
인내심은 그대를 만났어
바로 이 순간
오늘 나는 우연히 널 보고 말았어
나에 상상 속에 그리던 널
나의 눈이 너와 마주치던 그 순간
나는 굳어버렸지
할말도 잃어버린 채
어떡해야 그대에게 말을 건넬까
나의 맘은 두근거렸지만
내게 슬쩍 눈길을 주며 웃는 그댈
이젠 사랑할 수밖에 없어
나는 가끔 이런 생각들을 했어
내가 사랑할 수 있는 누군가도
지금 나와같은 생각으로
나의 모습들을 가끔씩 그려보는지
이런저런 상상속에 많은 시간들은
나를 외롭게 만들었지만
나는 기다렸어 그날이 오기를
바로 오늘을
오늘 나는 우연히 널 보고 말았어
나에 상상 속에 그리던 널
나의 눈이 너와 마주치던 그 순간
나는 굳어버렸지
할말도 잃어버린 채
어떡해야 그대에게 말을 건넬까
나의 맘은 두근거렸지만
내게 슬쩍 눈길을 주며 웃는 그댈
이젠 사랑할 수밖에 없어
어떡해야 그대에게 말을 건넬까
나의 맘은 두근거렸지만
내게 슬쩍 눈길을 주며 웃는 그댈
이젠 사랑할 수밖에 없어",댄스,1995.04
8,윤종신,부디,"고마워 애써 내게 감추려했던건
하지만 그래서 난 준비를못했지
내삶속에 가장 귀한 너와헤어진뒤에
쓰린 이상처를 견딜 준비를
미안해 오랫동안 힘들었었지
언젠가 한 친구는 충고해주었지
이루어질수 없다고 너와 나의 사랑은
그땐 어렸는지 웃어버렸어
포기해버린 네마음 이해해
둘만의 사랑으론 축복받을 수 없다는걸
나는 괜찮아 그냥 견딜수있을꺼야
너무 지쳐버린 네가 걱정될뿐
이젠 더이상 눈물 짓지마
아직도 흘릴 눈물 남았니
뒤돌아 볼것도 없어
빨리가렴
마지막 네모습에 널 잡을지 몰라
부디 좋은 사람 만나길 바래
많은 사람들의 축복속에서
잊어줘 살아갈 이유 잃어버린 날

이젠 더이상 눈물 짓지마
아직도 흘릴 눈물 남았니
뒤돌아 볼것도 없어 빨리가렴
마지막 네 모습에 널 잡을지 몰라
부디 좋은 사람 만나길 바래
많은 사람들의 축복속에서
잊어줘 살아갈 이유 잃어버린 날
이젠 더이상 눈물 짓지마
아직도 흘릴 눈물 남았니
뒤돌아 볼것도 없어
빨리가렴
마지막 네모습에 널 잡을지 몰라
부디 좋은 사람 만나길 바래
많은 사람들의 축복속에서
잊어줘 살아갈 이유 잃어버린 날",발라드,1995.05.01
9,한동준,사랑의 서약,"그토록 바라던 시간이 왔어요
모든 사람의 축복에
사랑의 서약을 하고 있죠
세월이 흘러서 병들고 지칠 때
지금처럼 내 곁에서
서로 위로해 줄 수 있나요
함께 걸어가야 할 수많은 시간 앞에서
우리들의 약속은 언제나 변함없다는 것을 믿나요
힘든 날도 있겠죠 하지만 후횐 없어요
저 하늘이 부르는 그날까지
사랑만 가득하다는 것을 믿어요

이룰수 없다고 슬퍼했던 날들
낮설었던 그 이별도
이젠 추억이라 할수 있죠
함께 걸어가야 할 수많은 시간 앞에서
우리들의 약속은 언제나 변함없다는 것을 믿나요
힘든 날도 있겠죠 하지만 후횐 없어요
저 하늘이 부르는 그날까지
사랑만 가득하다는 것을 믿어요",발라드,1995
