,가수,곡명,가사,장르,발매일
10,컨츄리 꼬꼬,오! 가니,"오오 오오
우리 오다가다 만난사이
아니잖아
우리그냥 보통사이 아니잖아
그러면서 정이 들어버렸잖아
여기에서 포기하면 나는뭐야
사랑해 줄 시간은 아직많은데
벌써가면 이제 나는
어떡하라고 왜 가니
오 가니 오 가니 오 가니 오 가니
정말 기가막힐 것 같아
나를 떠나려고 하다니
너밖에 모르는 난 어떻게
되는거야 오 가니
세상 모든 것이 변해도
우리 사랑변치 말자던 그 약속
넌 잊어버렸니
오가니 오가니
니가 원한것은 다 했어
하늘에 별도 따다줄만큼
니가 이제와서 싫다면
나는 어떡하라고오오
오가니가니 나를떠나가니
나를떠나 가다니
날 많이 많이 아주많이 많이
사랑해 주었잖아
다시 날 사랑해줘 다시 돌아와줘
진정 사랑했다면
영원히 너와 단 둘이 살고싶어
왜가 솔직히 잡기가 뭐해서
난 너에게 말하지 못했어
끝까지 너만을 믿는데
니 맘은 자꾸 멀어져
오 오
돌아와 달라고 말할때까지
널 기다리겠어
오가니 오가니
오가니 오가니
정주고 공들여 다바친
내 청춘 이젠 어떡하라고
사랑해 날 떠나가지마
오가니 오가니
니가 원한것은 다 했어
하늘에 별도 따다 줄 만큼
니가 이제와서 싫다면
나는 어떡하라고오오
오가니가니 나를떠나가니
나를 떠나 가다니
날 많이 많이 아주많이 많이
사랑해주었잖아
다시 날 사랑해줘 다시 돌아와줘
진정 사랑했다면
영원히 너와 단 둘이 살고싶어
다시 날 사랑해줘 다시 돌아와줘
진정 사랑했다면
영원히 너와 단 둘이 살고싶어
오가니 오가니
오가니 오가니",댄스,2000.06.12
11,정일영,기도,"혹시 나를 떠나려는 그대 맘이
힘든 나를 위해서 그런 이유인가요
하루만큼 멀어져도 괜찮아요
그대 어디 있어도 사랑인걸 믿어요
그땐 난 미처 몰랐죠
나를 보던 그대 눈빛
작은 그대 어깨조차도
안아줄 수 없던 내가 싫었죠
언제까지 슬픈 운명 우릴 갈라놓아도
또 다시 그대 맘을 울리지는 않을 거예요
어떤 것도 나의 그댈 대신할 수 없기에
이제는 그대보다 소중한 건
내게 없단 걸 아나요
나를 보며 웃는 그대 그 미소가
내게 너무나 벅찬 그런 행복인걸요
더 가까이 기대와도 괜찮아요
그대 숨결 느끼는 지금 이 순간처럼
그땐 난 미처 몰랐죠
나를 보던 그대 눈빛
작은 그대 어깨조차도
안아줄 수 없던 내가 싫었죠
언제까지 슬픈 운명 우릴 갈라놓아도
또 다시 그대 맘을 울리지는 않을 거예요
어떤 것도 나의 그댈 대신할 수 없기에
이제는 그대보다 소중한 건
내게 없단 걸 아나요
언제까지나 여기 있어요
작은 손길 닿는 곳에
그대 사랑이 나를 불렀죠 그대 곁으로
언제까지 슬픈 운명 우릴 갈라놓아도
또 다시 그대 맘을 울리지는 않을 거예요
어떤 것도 나의 그댈 대신할 수 없기에
이제는 그대보다 소중한 건 내게 없단 걸","발라드, 국내드라마",2000.10
12,신승훈,전설속의 누군가처럼,"거울 속의 그대 모습을 바라본적 있는가
부끄럽지 않은 삶인가 뜨거운 눈물 흘려본 적 언젠가
누굴 위해 살아왔는가 여긴 지금 어딘가
어릴 적 그대의 꿈들은 그저 그대가 만든 소설이었나
이젠 한번 생각해봐 그대 안에 다른 널 움츠리지 말고
너의 날개를 너의 미래를 향해 날아보는 거야
아주 작은 새의 몸짓도 이 세상 봄이 옴을 알게 하는데
(Can you see a whole new world)
부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해
(No one knows the way you feel)
그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고
(You can soar and touch the sky)
전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐

이젠 한번 생각해봐 그대 안에 다른 널 움츠리지 말고
너의 날개를 너의 미래를 향해 날아보는 거야
아주 작은 새의 몸짓도 이 세상 봄이 옴을 알게 하는데
(Can you see a whole new world)
부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해
(No one knows the way you feel)
그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고
(You can soar and touch the sky)
전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐
(We believe, we believe that you can fly)
진흙 속에 피는 꽃들도 그 어느 꽃보다 더 향기로운데
부질없는 그대 몸짓은 그 누구에게도 느낄 수 없게 해
(No one knows the way you feel)
그대 아직 늦지 않았어 두 팔을 벌려 너의 날개를 펴고
(You can soar and touch the sky)
전설 속의 누군가처럼 그대의 미래를 향해 훨훨 날아봐",발라드,2000.03.07
13,임재범,너를 위해,"어쩜 우린 복잡한 인연에
서로 엉켜있는 사람인가봐
나는 매일 네게 갚지도 못할만큼
많은 빚을 지고 있어
연인처럼 때론 남남처럼
계속 살아가도 괜찮은 걸까
그렇게도 많은 잘못과 잦은 이별에도
항상 거기 있는 너
날 세상에서 제대로 살게해 줄
유일한 사람이 너란걸 알아
나 후회없이 살아가기 위해
너를 붙잡아야 할테지만
내 거친 생각과 불안한 눈빛과
그걸 지켜보는 너
그건 아마도 전쟁같은 사랑
난 위험하니까 사랑하니까
너에게서 떠나줄꺼야

날 세상에서 제대로 살게해 줄
유일한 사람이 너란걸 알아
나 후회없이 살아가기 위해
너를 붙잡아야 할테지만
내 거친 생각과 불안한 눈빛과
그걸 지켜보는 너
그건 아마도 전쟁같은 사랑
난 위험하니까 사랑하니까
너에게서 떠나줄꺼야
너를 위해 떠날꺼야",발라드,2000.05.16
14,박효신,바보,"너무 모르고 있죠 이미 떠난 사인데
언젠가 올 거란 생각에 마냥 웃고만 있죠
슬픈 상처뿐인데 곁에 있을 거라 믿었죠
걱정돼요 내가 없으면 어느 것 하나도 할 수 없던 사람인데
꼭 한번 만날 수 있다면 아직 남겨진 내 맘 전하고 싶은데
내가 부족한가요 당신을 원한 이유로 이렇게 날 외면하려 하나요
단 한번 사랑을 믿어요 볼 수 있다면 나 웃고 살 수 있는데
허나 다른 사랑 찾아가란 말은 말아요 날 버리진 않겠죠
그럴 리 없잖아요 you
부탁해요 곁에 없어도 몸조심하세요 참 힘겨워 했잖아요
또 다시 만날 수 있다면 아직 남겨진 내 맘 전하고 싶은데
내가 부족한가요 당신을 원한 이유로 이렇게 날 외면하려 하나요
단 한번 사랑을 믿어요 볼 수 있다면 나 웃고 살 수 있는데
허나 다른 사랑 찾아가란 말은 말아요 날 버리진 않겠죠
그럴 리 없잖아요
언젠가 잠시라도 기억 할 수 있다면 난 그걸로 되요

 ",R&B/Soul,1999.12.01
15,이승환,그대가 그대를,"참 많이 모질었었죠 나 당신께
나같지 않은 말땜에 놀랬겠죠
편할날이 없었죠 틀렸던 걸까봐
말없이 놓아준 그대가
정말로 내사랑 같아서
왜 그랬나요 울거면서
잘 가라는 듯 왜
그게 되나요 못보는게 그대가
그대를 음
참많이 오래 견디죠 나 당신을
조금만 멀리 보여도 보고싶죠
갚을게 많아서 못준게 많아서
혹시 날 못있고 산다면
꼭 한번 만나고 싶어서
잘지내나요 혼잔가요
나아닌 누군가와
사랑하나요 우릴 지운
그대가 나아닌 그대를
우리가 사랑했던게 간직 할 만한
슬픔이었음 해요
왜 그랬나요 울거면서
잘 가라는 듯 왜
그게 되나요 못보는게
그대가 그대를 음
우리 오래 오래 살아요
꼭 한번이라도 보게
못한 얘기들도 하구요
맛나는 것도 먹어요
우리 정말로 오래오래
살아요 천년만년
어쩌면 인연이 다하여
뜻하지 않은 어느 곳
그리 우리 다시 만나면
이제 편히 쉬게요",발라드,2003.03.12
16,자우림,매직 카펫 라이드,"이렇게 멋진 파란 하늘 위로
날으는 마법 융단을 타고
이렇게 멋진 푸른 세상 속을
날으는 우리 두 사람
신경 쓰지 마요
그렇고 그런 얘기들
골치 아픈일은
내일로 미뤄버려요
인생은 한번 뿐 후회하지 마요
진짜로 가지고 싶은 걸 가져요
이렇게 멋진 파란 하늘 위에
지어진 마법 정원으로 와요
색색의 보석 꽃과 노루 비단
달콤한 우리 두 사람
웬일인지 인생이 재미 없다면
지난 일은 모두 다 잊어버려요
기회는 한번 뿐 실수하지 마요
진짜로 해내고 싶은 걸 찾아요
용감하게 씩씩하게
오늘의 당신을 버려봐요
이렇게 멋진 파란 하늘 위로
나르는 마법융단을 타고
이렇게 멋진 장미빛 인생을
당신과 나와 우리 둘이 함께
인생은 한번 뿐 후회하지 마요
진짜로 가지고 싶은 걸 가져요
용감하게 씩씩하게
오늘의 당신을 버려봐요
이렇게 멋진 파란 하늘 위로
날으는 마법 융단을 타고
이렇게 멋진 초록 바다속을
달리는 빨간 자동차를 타고
이렇게 멋진 푸른 세상 속을
날으는 마법 융단을 타고
이렇게 멋진 장미빛 인생을
당신과 나와 우리 둘이 함께",록/메탈,2000.07.04
17,조장혁,중독된 사랑,"다시 너를 볼 수 있을까

이렇게 너의 집까지 오고만 거야

넌 나를 떠나도 매일 널

바래다 준 습관 눈물로 남아서

소리없이 끊는 전화에



몸서리치게 네 모습 더욱 그리워

너의 그 따뜻한 목소리

이젠 더 이상은 내 것이 아닌데

잊었니 너와 나 사랑했던 날 모두

이젠 너의 기억 저멀리 잠든 추억인 거니

아직도 널 잊지 못해 견딜 수 없어

눈물로 하루를 삼키는 내게

제발 다시 돌아올 수 없겠니

너 없는 세상 어디에서도

숨쉴수 없는 날 위해

들어줄 넌 곁에 없지만

가만히 너의 이름을 혼자 불러봐

어쩌면 예전에 그랬던

내가 대답해 줄까 하는 미련에

잊었니 너와 나 사랑했던 날 모두

이젠 너의 기억 저멀리 잠든 추억인 거니

아직도 널 잊지 못해 견딜 수 없어

눈물로 하루를 삼키는 내게

제발 다시 돌아올 수 없겠니

너 없는 세상 어디에서도

숨쉴수 없는 날 위해

날 위해~ 날위해~ 날위해~ 돌아와",발라드,2000.06
18,박효신,해줄 수 없는 일,"할말이 있어 어려운 얘기
내게 힘겹게 꺼내놓은 네
마지막 얘기
내 곁에 있기엔 너무 닮지 못해서
함께 할 수 있는 건 이별 뿐이라고
아무것도 난 몰랐잖아 너를
힘들게 했다는 게
그런것도 몰랐다는 걸 도무지
난 용서가 안돼
아무것도 넌 모르잖아
나를 차갑게 돌아서도 내일부터
볼 수 없어도
내 안에 넌 달라지는 게 아니란걸
그렇다는걸 너도 알고 있잖아
니가 원하면 무엇이든 다 할
수 있단 걸
해줄 수 없는 건 오직
한 가지 뿐야
너무 사랑하면서 너를
떠나가는 일
아무것도 난 몰랐잖아 너를
힘들게 했다는 게
그런것도 몰랐다는 걸 도무지
난 용서가 안돼
아무것도 넌 모르잖아
나를 차갑게 돌아서도 내일부터
볼 수 없어도
내 안에 넌 달라지는 게 아니란걸
너를 위한 길이라면 그러고 싶어
받아들이려고 해봐도
이별까지는 아무래도
힘들것 같아
니가 없이 살아가는게 나에게는
자신 없으니까
아무말도 못 들은 걸로 아무일도
없었던 걸로
오늘 일만 지워버리면 우리
둘은 달라지는게 없잖아
더 지치게 하는 일 없을테니",R&B/Soul,1999.12.01
19,박혜경,고백,"말해야 하는데 네 앞에 서면
아무 말 못하는 내가 미워져
용기를 내야해 후회하지 않게
조금씩 너에게 다가가
날 고백해야해
내 오래된 친구인 널
좋아하게 됐나 봐
아무렇지 않은 듯 널 대해도
마음은 늘 떨렸어
미소 짓는 너를 보면
우리 사이가 어색할까 두려워
아무런 말 하지 못한 채
돌아서면 눈물만 흘렸어
말해야 하는데 네 앞에 서면
아무 말 못하는 내가 미워져
용기를 내야해 후회하지 않게
조금씩 너에게 다가가
날 고백해야해
처음 너를 만났던 날
기억할 순 없지만
그저 그런 친구로 생각했고
지금과는 달랐어
미소 짓는 너를 보면
우리 사이가 어색할까 두려워
하루 종일 망설이다
헤어지면 눈물만 흘렸어
말하고 싶은데 사랑한다고
아무 말 못하는 내가 너무 미워
용기를 내야해 후회하지 않게
조금씩 너에게 다가가
날 고백할 거야
용기를 내야 해 후회하지 않게
조금씩 너에게 다가가
날 고백할 거야
사랑한다고 아무 말 못하는
내가 너무 미워
용기를 내야 해 후회하지 않게
조금씩 너에게 다가가
날 고백할 거야",록/메탈,1999.12.23
20,최재훈,비(悲)의 Rhapsody,"이젠 눈물 그쳐 나를 봐요
우는 그대 더 아름다워
내게 이 모습 조차 더 남지 않도록
그냥 고개 돌려요
그저 미안한 마음뿐이죠
그댈 위해 해줄게 없어
모두 이해할게요 그댈 아끼는 맘
그분들도 같을 거란걸
한참 동안을 비틀거렸죠 워
그댈 사랑했던 그만큼 워
떠나가요 아주 먼곳으로
그대 소식 내게 올수 없을
그 만큼
다 잊어요 내겐 마지막이
될 사람도
모두 다 버려두고 갈게요
나를 위해 많이 애썼단걸
알고있죠 난 감사해요
허나 이룰수 없는건 어쩔수 없죠
내가 용기낼게요 이젠
죽는 날까지 사랑한대도 워
가질수 없는 그대인걸 워
떠나가요 아주 먼곳으로
그대 소식 내게 올수 없을
그 만큼
다 잊어요 내겐 마지막이
될 사람도
모두 다 버려두고 갈게요
떠나가요 아주 먼곳으로
그대소식 내게 올수 없을
그 만큼
혹시라도 내가 그리울 때면
세상에 내가 없다고 믿어요
우 그렇게 우 믿어요",록/메탈,2000.03.09
21,윤현석,Love,"묻고 싶어 너를 만나게 되면 나를 떠난 후 정말
괜찮은지 또 다른 누굴 만나 날 잊고 사는지
혹시 나와 같은지
그 누군가가 너를 물을 때마다 이젠 날 떠나
행복할 거라고 해
나 또한 알고싶어 너무 힘들어 너를 잊을 수 없어
사랑해, 사랑해
너의 사랑이 너무 필요해 기억해 날 잊지마 너를
너무 사랑해
너 하나만을 사랑한 죄밖에 없어 사랑 때문에
모든 걸 포기했어 이제 단 하나 나의 바램이
있다면 행복하게 살아줘",발라드,2000.02.29
