Filename,MFCC_Mean,MFCC_Var,Chromagram_Mean,Chromagram_Var,Spectral_Centroids_Mean,Spectral_Centroids_Var,Spectral_Rolloff_Mean,Spectral_Rolloff_Var,Zero_Crossing_Rate,RMS_Energy_Mean,RMS_Energy_Var,Spectral_Bandwidth_Mean,Spectral_Bandwidth_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Spectral_Flatness_Mean,Spectral_Flatness_Var,Tempo,harmony_mean,harmony_var,precussive_mean,percussive_var,label
./sounds/trot/trot5.wav,0.50073165,0.03061786,0.315862,0.09408652,2222.3707561753527,280672.51350718597,4223.682793301326,817826.1673903133,0.13240207164280185,0.10533687,0.0013237197,2030.0925747604576,89753.21754303439,25.098033078731376,188.55144694004423,0.011412131,0.0003192774,143.5546875,-1.2004452e-06,0.0055154753,-1.0145562e-07,0.0037047057,trot
./sounds/trot/trot50.wav,0.51795375,0.032928374,0.32627958,0.08772588,2089.9543289518087,656486.487836272,4216.216171784297,2178501.679481004,0.10360217020607586,0.08548815,0.0004523913,2212.0299706391334,165316.62020204743,23.86166011691671,132.78685241137498,0.013064195,0.0004176517,135.99917763157896,-1.6715431e-06,0.0044805035,4.952611e-06,0.0014290116,trot
./sounds/trot/trot51.wav,0.5350999,0.031962305,0.34519905,0.08910914,2760.6372407668023,268054.95974989224,5614.457716808969,1147412.5636727894,0.14277729235197367,0.38027412,0.0036281927,2548.3226664537174,98457.59412956245,22.68139276948392,124.6944090342629,0.030568123,0.001007925,92.28515625,0.00015211418,0.07761904,0.00039082006,0.0279381,trot
./sounds/trot/trot52.wav,0.52393633,0.032472327,0.353823,0.08682644,2003.2141266465871,566708.0272181979,4420.189938382837,2640501.8783406746,0.07639749721845976,0.29808658,0.0036196588,2353.6084243732785,158198.40316448058,23.738329632336356,118.82793098191092,0.011971313,0.0003782241,75.99954044117646,2.6952805e-06,0.062260505,0.00035307006,0.010693829,trot
./sounds/trot/trot53.wav,0.5245499,0.027882662,0.37016696,0.09319258,2066.768764264407,877854.6176197769,4421.856594971459,3388275.739385308,0.08449155258320433,0.26082888,0.009048738,2447.106667760342,140167.30442346784,23.804700649674043,130.63027806746555,0.01570241,0.0010377753,117.45383522727273,-9.833963e-06,0.052660797,-6.416528e-05,0.010916202,trot
./sounds/trot/trot54.wav,0.51308924,0.037060585,0.3296345,0.09035887,2572.50631338782,345425.03349735454,5495.675101737858,1642817.1623670114,0.11920109326625387,0.33729073,0.003184253,2551.01480914653,94924.72870408815,24.00566168177538,120.14608148924675,0.021232838,0.00033511905,69.83741554054055,-2.4167462e-05,0.07393206,-0.000104304665,0.015810346,trot
./sounds/trot/trot55.wav,0.51281124,0.034419075,0.29148003,0.08931652,1821.016659807582,600189.8067516205,3622.153097335768,2926588.0873013264,0.07670928671633127,0.24008808,0.008311503,2085.7927286836516,221732.1880780862,26.89610333434975,102.53325571599518,0.0063651013,0.00031491695,129.19921875,-1.4058361e-05,0.053679906,-9.820959e-05,0.0039657266,trot
./sounds/trot/trot56.wav,0.53976345,0.034613017,0.31482637,0.08697216,2369.2279452824555,556199.5414250633,5117.169057178792,2188632.786749461,0.10899404992260062,0.37736312,0.0040912465,2479.4126763784598,141175.07369517657,24.089782191903097,114.73510253480514,0.01756069,0.0007399855,95.703125,1.7770799e-05,0.099247,0.00029983104,0.017696427,trot
./sounds/trot/trot57.wav,0.528415,0.030112676,0.372064,0.08721386,1979.1339469067975,1080470.470222332,4513.581040326287,5031002.600344404,0.07382608419601393,0.3560958,0.003014034,2431.6600639743233,301743.93989502644,23.10199371630552,119.88189439491204,0.012680629,0.000712681,117.45383522727273,-4.0254323e-05,0.0832306,-0.00072084524,0.014708632,trot
./sounds/trot/trot58.wav,0.4911214,0.028493788,0.31867898,0.08928398,2764.036692626707,515226.76717513835,6102.129767922794,1974480.3672136124,0.1231349319127322,0.32877004,0.0017456484,2754.234976178676,103495.53790215716,23.106671448981785,115.19711408313867,0.029748326,0.0011135853,117.45383522727273,-2.9668827e-05,0.0649717,-0.00042189466,0.017375618,trot
./sounds/trot/trot59.wav,0.50037634,0.035695635,0.34278533,0.08597028,3409.7534255451383,235119.43601984959,7088.06547277114,805295.0444942986,0.18452685093363003,0.32650137,0.0034658012,2868.7516639004843,49709.68660104393,23.013022759520737,113.82964924066974,0.056589853,0.0010545909,143.5546875,-2.5117048e-05,0.06061692,-0.0003292227,0.021383002,trot
./sounds/trot/trot6.wav,0.5006004,0.029464087,0.28779078,0.08916004,2555.594157170722,533733.1593706984,5347.842662327061,1534403.873491627,0.12263758042279412,0.10432,0.001335708,2531.8874861075797,81562.19467385189,24.207064144277,123.16047727943068,0.020263819,0.00077937235,135.99917763157896,-1.16131204e-07,0.008897217,-1.2090024e-06,0.0013659406,trot
./sounds/trot/trot60.wav,0.52327824,0.026300432,0.39104044,0.084065445,2802.41353107843,464888.1881445501,6041.596800624033,1473551.4069963759,0.13606342516447367,0.3044429,0.002050116,2740.2125376813074,64045.65705075192,22.391904218987843,123.6434319163522,0.037898786,0.0010715538,135.99917763157896,-2.8014454e-05,0.0473847,-0.0005701945,0.019468056,trot
./sounds/trot/trot61.wav,0.50386167,0.036248352,0.3849732,0.09628056,3147.2055640784793,688190.5342621478,6405.536266598539,1402300.0211243017,0.17345171004256965,0.35606664,0.010836846,2722.795278486765,60444.740353647874,20.885398071237855,118.99158673418793,0.064978346,0.0035403734,143.5546875,0.0001375813,0.065579936,0.0005566488,0.032416314,trot
./sounds/trot/trot62.wav,0.50093704,0.036595426,0.3084084,0.094342135,3200.087826277992,670991.1198265774,6664.501367338671,1745324.5548891283,0.15679534817627708,0.32078284,0.006765108,2792.4294406361437,81400.1518720688,23.915793368623707,122.59353412207994,0.027375352,0.0006862239,129.19921875,-6.468977e-05,0.06137511,-0.00017394159,0.020624638,trot
./sounds/trot/trot63.wav,0.52385646,0.03378446,0.3070989,0.087801516,2863.5383186537365,426685.6638041222,6233.703972311581,1815644.9072292345,0.13778223563273995,0.32340908,0.0038675952,2713.76151831623,84508.85872191195,24.936090130480668,114.78992053958314,0.020596046,0.00028393746,123.046875,-4.6668967e-05,0.07260647,-0.00018523425,0.015564772,trot
